2026-02-10 11:42:19 - MainServer - INFO - Starting Pong server 156a12e7
2026-02-10 11:42:19 - MainServer - INFO - Logs saved to: logs\pong_server_156a12e7.log
2026-02-10 11:42:19 - PongServer - INFO - Starting server 156a12e7 ...
2026-02-10 11:42:19 - PongServer - INFO - Scanning for peers...
2026-02-10 11:42:19 - DiscoveryProtocol - INFO - Discovery listener started for server 156a12e7
2026-02-10 11:42:19 - DiscoveryProtocol - INFO - Discovered server 156a12e7 at 192.168.0.97
2026-02-10 11:42:21 - DiscoveryProtocol - INFO - Discovery complete — found 1 server(s)
2026-02-10 11:42:21 - PongServer - INFO - Found peers: []
2026-02-10 11:42:21 - PongServer - INFO - I am the initial leader (156a12e7)
2026-02-10 11:42:29 - PongServer - INFO - Created room 0
2026-02-10 11:42:29 - PongServer - INFO - Leader: Player 2 detected locally (room 0)!
2026-02-10 11:42:31 - PongServer - INFO - Room 0: players={2} score=0-0
2026-02-10 11:42:36 - PongServer - INFO - Room 0: players={2} score=0-0
2026-02-10 11:42:41 - PongServer - INFO - Room 0: players={2} score=0-0
2026-02-10 11:42:46 - PongServer - INFO - Room 0: players={2} score=0-0
2026-02-10 11:42:51 - PongServer - INFO - Room 0: players={2} score=0-0
2026-02-10 11:42:54 - PongServer - INFO - Leader: Player 1 detected locally (room 0)!
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:42:54 - PongServer - INFO - Room 0 is READY — both players connected
