2026-02-10 11:12:34 - MainServer - INFO - Starting Pong server 33f1d902
2026-02-10 11:12:34 - MainServer - INFO - Logs saved to: logs\pong_server_33f1d902.log
2026-02-10 11:12:34 - PongServer - INFO - Starting server 33f1d902 ...
2026-02-10 11:12:34 - PongServer - INFO - Scanning for peers...
2026-02-10 11:12:34 - DiscoveryProtocol - INFO - Discovery listener started for server 33f1d902
2026-02-10 11:12:34 - DiscoveryProtocol - INFO - Discovered server 33f1d902 at 192.168.0.97
2026-02-10 11:12:34 - DiscoveryProtocol - INFO - Discovered server c8345142 at 192.168.0.195
2026-02-10 11:12:34 - DiscoveryProtocol - INFO - Discovered server a708aae1 at 192.168.0.16
2026-02-10 11:12:36 - DiscoveryProtocol - INFO - Discovery complete — found 3 server(s)
2026-02-10 11:12:36 - PongServer - INFO - Found peers: [('c8345142', '192.168.0.195'), ('a708aae1', '192.168.0.16')]
2026-02-10 11:12:37 - PongServer - INFO - Waiting for leader announcement...
2026-02-10 11:12:37 - BullyElection - INFO - New leader elected: c8345142
2026-02-10 11:12:37 - PongServer - INFO - Leader confirmed: c8345142
2026-02-10 11:13:02 - PongServer - INFO - Created room 0
2026-02-10 11:13:23 - PongServer - WARNING - Leader timeout! Scheduling election (jittered).
2026-02-10 11:13:23 - BullyElection - INFO - Scheduling election in 0.85s (jitter)
2026-02-10 11:13:24 - BullyElection - INFO - Starting election after jitter delay.
2026-02-10 11:13:24 - BullyElection - INFO - Starting election (server=33f1d902)
2026-02-10 11:13:26 - PongServer - WARNING - Pruning dead peer: c8345142
2026-02-10 11:13:26 - BullyElection - INFO - Starting election (server=33f1d902)
2026-02-10 11:13:26 - BullyElection - INFO - New leader elected: a708aae1
2026-02-10 11:13:26 - PongServer - INFO - Leader confirmed: a708aae1
2026-02-10 11:13:38 - PongServer - WARNING - Leader timeout! Scheduling election (jittered).
2026-02-10 11:13:38 - BullyElection - INFO - Scheduling election in 0.38s (jitter)
2026-02-10 11:13:38 - BullyElection - INFO - Starting election after jitter delay.
2026-02-10 11:13:38 - BullyElection - INFO - Starting election (server=33f1d902)
2026-02-10 11:13:41 - BullyElection - WARNING - *** I AM LEADER NOW (33f1d902) ***
2026-02-10 11:13:41 - PongServer - INFO - Room 0: players=set() score=1-0
2026-02-10 11:13:41 - PongServer - INFO - Leader: Player 2 detected locally (room 0)!
2026-02-10 11:13:41 - PongServer - INFO - Leader: Player 1 detected locally (room 0)!
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - WARNING - Pruning dead peer: a708aae1
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:41 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 11:13:42 - PongServer - INFO - Room 0 is READY — both players connected
