2026-02-10 10:12:06 - MainServer - INFO - Starting Pong server 3828e25c
2026-02-10 10:12:06 - MainServer - INFO - Logs saved to: logs\pong_server_3828e25c.log
2026-02-10 10:12:06 - PongServer - INFO - Starting server 3828e25c ...
2026-02-10 10:12:06 - PongServer - INFO - Scanning for peers...
2026-02-10 10:12:06 - DiscoveryProtocol - INFO - Discovery listener started for server 3828e25c
2026-02-10 10:12:06 - DiscoveryProtocol - INFO - Discovered server 3828e25c at 192.168.0.16
2026-02-10 10:12:06 - DiscoveryProtocol - INFO - Discovered server 53d77ae9 at 192.168.0.195
2026-02-10 10:12:08 - DiscoveryProtocol - INFO - Discovery complete — found 2 server(s)
2026-02-10 10:12:08 - PongServer - INFO - Found peers: [('53d77ae9', '192.168.0.195')]
2026-02-10 10:12:09 - PongServer - INFO - Waiting for leader announcement...
2026-02-10 10:12:09 - BullyElection - INFO - New leader elected: 53d77ae9
2026-02-10 10:12:09 - PongServer - INFO - Leader confirmed: 53d77ae9
2026-02-10 10:12:13 - PongServer - INFO - Peer joined: 62f6740d from 192.168.0.195
2026-02-10 10:12:39 - PongServer - INFO - Created room 0
2026-02-10 10:13:13 - PongServer - WARNING - Leader timeout! Scheduling election (jittered).
2026-02-10 10:13:13 - BullyElection - INFO - Scheduling election in 0.54s (jitter)
2026-02-10 10:13:13 - BullyElection - INFO - New leader elected: 62f6740d
2026-02-10 10:13:13 - PongServer - INFO - Leader confirmed: 62f6740d
2026-02-10 10:13:16 - PongServer - WARNING - Pruning dead peer: 53d77ae9
2026-02-10 10:13:24 - PongServer - INFO - Closing room 0 (leader request)
2026-02-10 10:13:24 - PongServer - INFO - Created room 0
2026-02-10 10:13:39 - PongServer - INFO - Closing room 0 (leader request)
2026-02-10 10:13:48 - PongServer - INFO - Peer joined: 5b71bc42 from 192.168.0.195
2026-02-10 10:14:28 - PongServer - INFO - Created room 0
2026-02-10 10:14:38 - PongServer - WARNING - Leader timeout! Scheduling election (jittered).
2026-02-10 10:14:38 - BullyElection - INFO - Scheduling election in 0.35s (jitter)
2026-02-10 10:14:38 - BullyElection - INFO - Starting election after jitter delay.
2026-02-10 10:14:38 - BullyElection - INFO - Starting election (server=3828e25c)
2026-02-10 10:14:41 - BullyElection - INFO - Starting election (server=3828e25c)
2026-02-10 10:14:41 - PongServer - WARNING - Pruning dead peer: 62f6740d
2026-02-10 10:14:41 - BullyElection - INFO - New leader elected: 5b71bc42
2026-02-10 10:14:41 - PongServer - INFO - Leader confirmed: 5b71bc42
2026-02-10 10:14:53 - PongServer - WARNING - Leader timeout! Scheduling election (jittered).
2026-02-10 10:14:53 - BullyElection - INFO - Scheduling election in 0.13s (jitter)
2026-02-10 10:14:53 - BullyElection - INFO - Starting election after jitter delay.
2026-02-10 10:14:53 - BullyElection - INFO - Starting election (server=3828e25c)
2026-02-10 10:14:55 - BullyElection - WARNING - *** I AM LEADER NOW (3828e25c) ***
2026-02-10 10:14:55 - PongServer - INFO - Room 0: players=set() score=0-1
2026-02-10 10:14:55 - PongServer - INFO - Leader: Player 1 detected locally (room 0)!
2026-02-10 10:14:56 - PongServer - INFO - Leader: Player 2 detected locally (room 0)!
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - WARNING - Pruning dead peer: 5b71bc42
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:14:56 - PongServer - INFO - Room 0 is READY — both players connected
