2026-02-09 22:54:41 - MainServer - INFO - Starting Pong server a7461b07
2026-02-09 22:54:41 - MainServer - INFO - Logs saved to: logs\pong_server_a7461b07.log
2026-02-09 22:54:41 - PongServer - INFO - Starting server a7461b07 ...
2026-02-09 22:54:41 - PongServer - INFO - Scanning for peers...
2026-02-09 22:54:41 - DiscoveryProtocol - INFO - Discovery listener started for server a7461b07
2026-02-09 22:54:41 - DiscoveryProtocol - INFO - Discovered server a7461b07 at 100.119.211.70
2026-02-09 22:54:43 - DiscoveryProtocol - INFO - Discovery complete — found 1 server(s)
2026-02-09 22:54:43 - PongServer - INFO - Found peers: []
2026-02-09 22:54:43 - PongServer - INFO - I am the initial leader (a7461b07)
2026-02-09 22:55:31 - PongServer - INFO - Created room 0
2026-02-09 22:55:31 - PongServer - INFO - Leader: Player 1 detected locally (room 0)!
2026-02-09 22:55:33 - PongServer - INFO - Room 0: players={1} score=0-0
2026-02-09 22:55:38 - PongServer - INFO - Room 0: players={1} score=0-0
2026-02-09 22:55:42 - PongServer - INFO - Leader: Player 2 detected locally (room 0)!
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-09 22:55:42 - PongServer - INFO - Room 0 is READY — both players connected
