2026-02-10 10:54:32 - MainServer - INFO - Starting Pong server bd0c9544
2026-02-10 10:54:32 - MainServer - INFO - Logs saved to: logs\pong_server_bd0c9544.log
2026-02-10 10:54:32 - PongServer - INFO - Starting server bd0c9544 ...
2026-02-10 10:54:32 - PongServer - INFO - Scanning for peers...
2026-02-10 10:54:32 - DiscoveryProtocol - INFO - Discovery listener started for server bd0c9544
2026-02-10 10:54:32 - DiscoveryProtocol - INFO - Discovered server bd0c9544 at 172.28.180.220
2026-02-10 10:54:34 - DiscoveryProtocol - INFO - Discovery complete — found 1 server(s)
2026-02-10 10:54:34 - PongServer - INFO - Found peers: []
2026-02-10 10:54:34 - PongServer - INFO - I am the initial leader (bd0c9544)
2026-02-10 10:55:10 - PongServer - INFO - Created room 0
2026-02-10 10:55:10 - PongServer - INFO - Leader: Player 1 detected locally (room 0)!
2026-02-10 10:55:14 - PongServer - INFO - Room 0: players={1} score=0-0
2026-02-10 10:55:19 - PongServer - INFO - Room 0: players={1} score=0-0
2026-02-10 10:55:24 - PongServer - INFO - Room 0: players={1} score=0-0
2026-02-10 10:55:27 - PongServer - INFO - Leader: Player 2 detected locally (room 0)!
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:27 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:55:28 - PongServer - INFO - Room 0 is READY — both players connected
