2026-02-10 10:57:49 - MainServer - INFO - Starting Pong server bfc025d5
2026-02-10 10:57:49 - MainServer - INFO - Logs saved to: logs\pong_server_bfc025d5.log
2026-02-10 10:57:49 - PongServer - INFO - Starting server bfc025d5 ...
2026-02-10 10:57:49 - PongServer - INFO - Scanning for peers...
2026-02-10 10:57:49 - DiscoveryProtocol - INFO - Discovery listener started for server bfc025d5
2026-02-10 10:57:49 - DiscoveryProtocol - INFO - Discovered server bfc025d5 at 172.28.180.220
2026-02-10 10:57:52 - DiscoveryProtocol - INFO - Discovery complete — found 1 server(s)
2026-02-10 10:57:52 - PongServer - INFO - Found peers: []
2026-02-10 10:57:52 - PongServer - INFO - I am the initial leader (bfc025d5)
2026-02-10 10:57:56 - PongServer - INFO - Created room 0
2026-02-10 10:57:56 - PongServer - INFO - Leader: Player 1 detected locally (room 0)!
2026-02-10 10:57:57 - PongServer - INFO - Room 0: players={1} score=0-0
2026-02-10 10:57:59 - PongServer - INFO - Leader: Player 2 detected locally (room 0)!
2026-02-10 10:57:59 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:57:59 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:57:59 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:57:59 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:00 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 10:58:01 - PongServer - INFO - Room 0 is READY — both players connected
