2026-02-10 09:47:07 - MainServer - INFO - Starting Pong server da3350b0
2026-02-10 09:47:07 - MainServer - INFO - Logs saved to: logs\pong_server_da3350b0.log
2026-02-10 09:47:07 - PongServer - INFO - Starting server da3350b0 ...
2026-02-10 09:47:07 - PongServer - INFO - Scanning for peers...
2026-02-10 09:47:07 - DiscoveryProtocol - INFO - Discovery listener started for server da3350b0
2026-02-10 09:47:07 - DiscoveryProtocol - INFO - Discovered server da3350b0 at 192.168.0.101
2026-02-10 09:47:09 - DiscoveryProtocol - INFO - Discovery complete — found 1 server(s)
2026-02-10 09:47:09 - PongServer - INFO - Found peers: []
2026-02-10 09:47:09 - PongServer - INFO - I am the initial leader (da3350b0)
2026-02-10 09:47:25 - PongServer - INFO - Peer joined: fd9bbcf9 from 192.168.0.100
2026-02-10 09:48:11 - PongServer - INFO - Created room 0
2026-02-10 09:48:11 - PongServer - INFO - Leader: Player 2 detected locally (room 0)!
2026-02-10 09:48:12 - PongServer - INFO - Leader: Player 1 detected via forwarding (room 0)!
2026-02-10 09:48:12 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:12 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:12 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:12 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:12 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:12 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:12 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:12 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:13 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0: players={1, 2} score=0-0
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:14 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
2026-02-10 09:48:15 - PongServer - INFO - Room 0 is READY — both players connected
